query_id,user_id,benchmark_tier,query_type,query_language,query_text,target_event_id,target_venue_id,target_name,target_trail_id,target_timestamp,target_category,target_city,cue_year,cue_month,cue_city,cue_category,cue_previous_event_id,cue_previous_place,cue_next_event_id,cue_next_place,is_high_memory_load
tokyo_167728_relational_between,167728,stress_test,relational_between,dataset_native_mixed,Which Ice Cream Shop did I visit between 志田峠 and イーアス高尾?,2018_2604374__event_004,189,町田あいす工房ラッテ,2018_2604374,2018-03-18 07:43:00,Ice Cream Shop,Hachiōji,,,,Ice Cream Shop,2018_2604374__event_003,志田峠,2018_2604374__event_005,イーアス高尾,True
tokyo_19379_relational_between,19379,stress_test,relational_between,dataset_native_mixed,Which Convenience Store did I visit between 高尾山口駅 (Takaosanguchi Sta.) (KO53) and 高尾山口駅 (Takaosanguchi Sta.) (KO53)?,2018_395370__event_002,2624,サンクス 八王子高尾山口店,2018_395370,2018-01-10 13:50:00,Convenience Store,Hachiōji,,,,Convenience Store,2018_395370__event_001,高尾山口駅 (Takaosanguchi Sta.) (KO53),2018_395370__event_003,高尾山口駅 (Takaosanguchi Sta.) (KO53),True
tokyo_24664_relational_between,24664,stress_test,relational_between,dataset_native_mixed,Which Buddhist Temple did I visit between 宗格院 and 興栄山 善龍寺?,2018_501939__event_003,146,了法寺,2018_501939,2018-01-08 04:29:00,Buddhist Temple,Hachiōji,,,,Buddhist Temple,2018_501939__event_002,宗格院,2018_501939__event_004,興栄山 善龍寺,True
tokyo_24765_relational_between,24765,stress_test,relational_between,dataset_native_mixed,Which Intersection did I visit between ダイソー 武蔵村山榎店 and セブンイレブン 武蔵村山三ツ藤1丁目店?,2018_504023__event_003,2155,本町一丁目交差点,2018_504023,2018-02-22 05:10:00,Intersection,Fussa,,,,Intersection,2018_504023__event_002,ダイソー 武蔵村山榎店,2018_504023__event_004,セブンイレブン 武蔵村山三ツ藤1丁目店,True
tokyo_264627_relational_between,264627,stress_test,relational_between,dataset_native_mixed,Which Food & Drink Shop did I visit between ドン・キホーテ and 富士森公園?,2018_3303906__event_003,1072,業務スーパー,2018_3303906,2018-03-31 06:00:00,Food & Drink Shop,Hachiōji,,,,Food & Drink Shop,2018_3303906__event_002,ドン・キホーテ,2018_3303906__event_004,富士森公園,True
tokyo_26786_relational_between,26786,stress_test,relational_between,dataset_native_mixed,Which Grocery Store did I visit between ローソン 相模原相原店 and マクドナルド?,2018_543210__event_002,1142,スーパーアルプス 城山店,2018_543210,2018-02-05 07:12:00,Grocery Store,Hachiōji,,,,Grocery Store,2018_543210__event_001,ローソン 相模原相原店,2018_543210__event_003,マクドナルド,True
tokyo_280210_relational_between,280210,stress_test,relational_between,dataset_native_mixed,Which Convenience Store did I visit between (医)社団 三芳会 平三歯科医院 and ワークマン 秋川店?,2018_3396830__event_002,1139,ファミリーマート 日本文化大入口店,2018_3396830,2018-05-12 06:45:00,Convenience Store,Hachiōji,,,,Convenience Store,2018_3396830__event_001,(医)社団 三芳会 平三歯科医院,2018_3396830__event_003,ワークマン 秋川店,True
tokyo_283450_relational_between,283450,stress_test,relational_between,dataset_native_mixed,Which Convenience Store did I visit between ファミリーマート 津久井宮が瀬店 and 東福生駅 (Higashi-Fussa Sta.)?,2018_3416142__event_005,2055,セブンイレブン 八王子上野町店,2018_3416142,2018-07-01 06:18:00,Convenience Store,Hachiōji,,,,Convenience Store,2018_3416142__event_004,ファミリーマート 津久井宮が瀬店,2018_3416142__event_006,東福生駅 (Higashi-Fussa Sta.),True
tokyo_28664_relational_between,28664,stress_test,relational_between,dataset_native_mixed,Which Bus Station did I visit between 橋本駅 (Hashimoto Sta.) and 鳥居原ふれあいの館?,2018_580041__event_004,1832,三ヶ木バスターミナル,2018_580041,2018-01-15 02:03:00,Bus Station,Hachiōji,,,,Bus Station,2018_580041__event_003,橋本駅 (Hashimoto Sta.),2018_580041__event_005,鳥居原ふれあいの館,True
tokyo_32545_relational_between,32545,stress_test,relational_between,dataset_native_mixed,Which Supermarket did I visit between ケーヨーデイツー 楢原店 and 張順?,2018_661952__event_003,1005,スーパーオザム 大楽寺店,2018_661952,2017-11-19 06:00:00,Supermarket,Hachiōji,,,,Supermarket,2018_661952__event_002,ケーヨーデイツー 楢原店,2018_661952__event_004,張順,True
tokyo_325605_relational_between,325605,stress_test,relational_between,dataset_native_mixed,Which Train Station did I visit between フルコンプ 八王子本店 and 八王子みなみ野駅 (Hachiōjiminamino Sta.)?,2018_3674480__event_002,2,八王子駅 (Hachiōji Sta.),2018_3674480,2018-10-03 14:47:00,Train Station,Hachiōji,,,,Train Station,2018_3674480__event_001,フルコンプ 八王子本店,2018_3674480__event_003,八王子みなみ野駅 (Hachiōjiminamino Sta.),True
tokyo_342180_relational_between,342180,stress_test,relational_between,dataset_native_mixed,Which Driving School did I visit between セブンイレブン 瑞穂むさし野2丁目店 and LIVIN?,2018_3773299__event_002,400,西多摩自動車学校,2018_3773299,2018-06-17 00:38:00,Driving School,Fussa,,,,Driving School,2018_3773299__event_001,セブンイレブン 瑞穂むさし野2丁目店,2018_3773299__event_003,LIVIN,True
tokyo_350248_relational_between,350248,stress_test,relational_between,dataset_native_mixed,Which Train Station did I visit between 昭和シェル石油 セルフ相原SS and 牛角?,2018_3820552__event_002,2,八王子駅 (Hachiōji Sta.),2018_3820552,2018-06-19 10:35:00,Train Station,Hachiōji,,,,Train Station,2018_3820552__event_001,昭和シェル石油 セルフ相原SS,2018_3820552__event_003,牛角,True
tokyo_41088_relational_between,41088,stress_test,relational_between,dataset_native_mixed,Which Train Station did I visit between 八王子駅 (Hachiōji Sta.) and Kanto Lodge?,2018_831017__event_002,18,拝島駅 (Haijima Sta.),2018_831017,2018-01-07 15:16:00,Train Station,Fussa,,,,Train Station,2018_831017__event_001,八王子駅 (Hachiōji Sta.),2018_831017__event_003,Kanto Lodge,True
tokyo_45205_relational_between,45205,stress_test,relational_between,dataset_native_mixed,Which Bridge did I visit between 宮ヶ瀬 バス停 and 株式会社エコリターン?,2018_907559__event_005,1868,虹の大橋,2018_907559,2018-08-13 18:31:00,Bridge,Hachiōji,,,,Bridge,2018_907559__event_004,宮ヶ瀬 バス停,2018_907559__event_006,株式会社エコリターン,True
tokyo_50046_relational_between,50046,stress_test,relational_between,dataset_native_mixed,Which Coffee Shop did I visit between 西友 福生店 and ビッグ・エー 羽村神明台店?,2018_1004024__event_002,927,Starbucks,2018_1004024,2018-04-14 06:50:00,Coffee Shop,Fussa,,,,Coffee Shop,2018_1004024__event_001,西友 福生店,2018_1004024__event_003,ビッグ・エー 羽村神明台店,True
tokyo_51031_relational_between,51031,stress_test,relational_between,dataset_native_mixed,Which Train Station did I visit between 西八王子駅 (Nishi-Hachiōji Sta.) (JC23) and 八王子みなみ野駅 (Hachiōjiminamino Sta.)?,2018_1023518__event_002,2,八王子駅 (Hachiōji Sta.),2018_1023518,2018-02-03 00:55:00,Train Station,Hachiōji,,,,Train Station,2018_1023518__event_001,西八王子駅 (Nishi-Hachiōji Sta.) (JC23),2018_1023518__event_003,八王子みなみ野駅 (Hachiōjiminamino Sta.),True
tokyo_60393_relational_between,60393,stress_test,relational_between,dataset_native_mixed,Which Café did I visit between アドアーズ 八王子店 and アドアーズ 八王子店?,2018_1190503__event_004,1807,キクマツヤ Café 八王子パル店,2018_1190503,2017-12-21 04:43:00,Café,Hachiōji,,,,Café,2018_1190503__event_003,アドアーズ 八王子店,2018_1190503__event_005,アドアーズ 八王子店,True
tokyo_70564_relational_between,70564,stress_test,relational_between,dataset_native_mixed,Which Convenience Store did I visit between ESSO 八王子SS and 鳥居原ふれあいの館?,2018_1332686__event_002,1078,セブンイレブン 八王子インター北店,2018_1332686,2018-04-20 00:52:00,Convenience Store,Hachiōji,,,,Convenience Store,2018_1332686__event_001,ESSO 八王子SS,2018_1332686__event_003,鳥居原ふれあいの館,True
tokyo_78286_relational_between,78286,stress_test,relational_between,dataset_native_mixed,Which Intersection did I visit between 壱発ラーメン and 福生消防署 熊川出張所?,2018_1453186__event_002,363,第二ゲート前交差点,2018_1453186,2018-04-28 16:47:00,Intersection,Fussa,,,,Intersection,2018_1453186__event_001,壱発ラーメン,2018_1453186__event_003,福生消防署 熊川出張所,True
tokyo_79719_relational_between,79719,stress_test,relational_between,dataset_native_mixed,Which Train Station did I visit between 日本工学院八王子専門学校 and 八王子田田?,2018_1475396__event_002,2,八王子駅 (Hachiōji Sta.),2018_1475396,2018-04-24 03:32:00,Train Station,Hachiōji,,,,Train Station,2018_1475396__event_001,日本工学院八王子専門学校,2018_1475396__event_003,八王子田田,True
tokyo_86988_relational_between,86988,stress_test,relational_between,dataset_native_mixed,"Which Convenience Store did I visit between リバースオート相模原 (Re-Birth Auto Co,Ltd) and ワークマン?",2018_1596327__event_004,2407,セブンイレブン 相模原大沢店,2018_1596327,2018-04-23 09:18:00,Convenience Store,Hachiōji,,,,Convenience Store,2018_1596327__event_003,"リバースオート相模原 (Re-Birth Auto Co,Ltd)",2018_1596327__event_005,ワークマン,True
tokyo_88793_relational_between,88793,stress_test,relational_between,dataset_native_mixed,Which Japanese Restaurant did I visit between イオンモール日の出 and ファミリーマート 八王子高尾町店?,2018_1621562__event_002,1485,和食よへい あきる野小川店,2018_1621562,2017-10-07 14:12:00,Japanese Restaurant,Fussa,,,,Japanese Restaurant,2018_1621562__event_001,イオンモール日の出,2018_1621562__event_003,ファミリーマート 八王子高尾町店,True
