query_id,user_id,benchmark_tier,query_type,method,query_text,target_event_id,target_venue_id,target_name,target_rank,reciprocal_rank,success_at_1,success_at_5,is_high_memory_load
tokyo_100677_relational_after,100677,core,relational_after,graph,Which Sake Bar did I visit after 金太郎 西八王子北口店?,2018_1773210__event_002,2822,NEWZ BAL,11,0.0909090909,False,False,False
tokyo_100677_semantic,100677,core,semantic,flat,Which Chinese Restaurant did I visit in Hachiōji?,2018_1773217__event_002,4364,餃子の王将,1,1.0000000000,True,True,False
tokyo_100677_semantic,100677,core,semantic,vector,Which Chinese Restaurant did I visit in Hachiōji?,2018_1773217__event_002,4364,餃子の王将,1,1.0000000000,True,True,False
tokyo_100677_semantic,100677,core,semantic,graph,Which Chinese Restaurant did I visit in Hachiōji?,2018_1773217__event_002,4364,餃子の王将,1,1.0000000000,True,True,False
tokyo_100677_temporal_spatial,100677,core,temporal_spatial,flat,Which Bar did I visit in Hachiōji in July 2018?,2018_1773220__event_002,1418,D.O.T.,1,1.0000000000,True,True,False
tokyo_100677_temporal_spatial,100677,core,temporal_spatial,vector,Which Bar did I visit in Hachiōji in July 2018?,2018_1773220__event_002,1418,D.O.T.,13,0.0769230769,False,False,False
tokyo_100677_temporal_spatial,100677,core,temporal_spatial,graph,Which Bar did I visit in Hachiōji in July 2018?,2018_1773220__event_002,1418,D.O.T.,7,0.1428571429,False,False,False
tokyo_101467_relational_after,101467,core,relational_after,flat,Which Convenience Store did I visit after 片倉駅 (Katakura Sta.)?,2018_1784994__event_004,2016,ローソン 八王子打越町店,2,0.5000000000,False,True,False
tokyo_101467_relational_after,101467,core,relational_after,vector,Which Convenience Store did I visit after 片倉駅 (Katakura Sta.)?,2018_1784994__event_004,2016,ローソン 八王子打越町店,1,1.0000000000,True,True,False
tokyo_101467_relational_after,101467,core,relational_after,graph,Which Convenience Store did I visit after 片倉駅 (Katakura Sta.)?,2018_1784994__event_004,2016,ローソン 八王子打越町店,1,1.0000000000,True,True,False
tokyo_101467_semantic,101467,core,semantic,flat,Which BBQ Joint did I visit in Hachiōji?,2018_1784986__event_002,4179,牛匠 炭火 八王子店,1,1.0000000000,True,True,False
tokyo_101467_semantic,101467,core,semantic,vector,Which BBQ Joint did I visit in Hachiōji?,2018_1784986__event_002,4179,牛匠 炭火 八王子店,1,1.0000000000,True,True,False
tokyo_101467_semantic,101467,core,semantic,graph,Which BBQ Joint did I visit in Hachiōji?,2018_1784986__event_002,4179,牛匠 炭火 八王子店,1,1.0000000000,True,True,False
tokyo_101467_temporal_spatial,101467,core,temporal_spatial,flat,Which Sake Bar did I visit in Hachiōji in February 2018?,2018_1785004__event_001,4203,大衆酒場センベロ 八王子本店,1,1.0000000000,True,True,False
tokyo_101467_temporal_spatial,101467,core,temporal_spatial,vector,Which Sake Bar did I visit in Hachiōji in February 2018?,2018_1785004__event_001,4203,大衆酒場センベロ 八王子本店,1,1.0000000000,True,True,False
tokyo_101467_temporal_spatial,101467,core,temporal_spatial,graph,Which Sake Bar did I visit in Hachiōji in February 2018?,2018_1785004__event_001,4203,大衆酒場センベロ 八王子本店,1,1.0000000000,True,True,False
tokyo_103621_relational_after,103621,core,relational_after,flat,Which Bar did I visit after 中華そば 青葉?,2018_1816122__event_002,3152,アニソンDJバー グリュック,1,1.0000000000,True,True,False
tokyo_103621_relational_after,103621,core,relational_after,vector,Which Bar did I visit after 中華そば 青葉?,2018_1816122__event_002,3152,アニソンDJバー グリュック,6,0.1666666667,False,False,False
tokyo_103621_relational_after,103621,core,relational_after,graph,Which Bar did I visit after 中華そば 青葉?,2018_1816122__event_002,3152,アニソンDJバー グリュック,11,0.0909090909,False,False,False
tokyo_103621_semantic,103621,core,semantic,flat,Which Sake Bar did I visit in Hachiōji?,2018_1816137__event_002,4436,立呑み晩杯屋 八王子店,1,1.0000000000,True,True,False
tokyo_103621_semantic,103621,core,semantic,vector,Which Sake Bar did I visit in Hachiōji?,2018_1816137__event_002,4436,立呑み晩杯屋 八王子店,1,1.0000000000,True,True,False
tokyo_103621_semantic,103621,core,semantic,graph,Which Sake Bar did I visit in Hachiōji?,2018_1816137__event_002,4436,立呑み晩杯屋 八王子店,1,1.0000000000,True,True,False
tokyo_103621_temporal_spatial,103621,core,temporal_spatial,flat,Which Japanese Curry Restaurant did I visit in Hachiōji in May 2018?,2018_1816124__event_001,2467,ゴーゴーカレー,1,1.0000000000,True,True,False
tokyo_103621_temporal_spatial,103621,core,temporal_spatial,vector,Which Japanese Curry Restaurant did I visit in Hachiōji in May 2018?,2018_1816124__event_001,2467,ゴーゴーカレー,1,1.0000000000,True,True,False
tokyo_103621_temporal_spatial,103621,core,temporal_spatial,graph,Which Japanese Curry Restaurant did I visit in Hachiōji in May 2018?,2018_1816124__event_001,2467,ゴーゴーカレー,1,1.0000000000,True,True,False
tokyo_106628_relational_after,106628,core,relational_after,flat,Which Recycling Facility did I visit after ファミリーマート 八王子高尾町店?,2018_1860406__event_003,3876,株式会社エコリターン,1,1.0000000000,True,True,True
tokyo_106628_relational_after,106628,core,relational_after,vector,Which Recycling Facility did I visit after ファミリーマート 八王子高尾町店?,2018_1860406__event_003,3876,株式会社エコリターン,1,1.0000000000,True,True,True
tokyo_106628_relational_after,106628,core,relational_after,graph,Which Recycling Facility did I visit after ファミリーマート 八王子高尾町店?,2018_1860406__event_003,3876,株式会社エコリターン,1,1.0000000000,True,True,True
tokyo_106628_semantic,106628,core,semantic,flat,Which Building did I visit in Hachiōji?,2018_1860388__event_002,2359,八王子労政会館,1,1.0000000000,True,True,True
tokyo_106628_semantic,106628,core,semantic,vector,Which Building did I visit in Hachiōji?,2018_1860388__event_002,2359,八王子労政会館,1,1.0000000000,True,True,True
tokyo_106628_semantic,106628,core,semantic,graph,Which Building did I visit in Hachiōji?,2018_1860388__event_002,2359,八王子労政会館,1,1.0000000000,True,True,True
tokyo_106628_temporal_spatial,106628,core,temporal_spatial,flat,Which Train Station did I visit in Fussa in August 2018?,2018_1860444__event_001,257,東秋留駅 (Higashi-Akiru Sta.),1,1.0000000000,True,True,True
tokyo_106628_temporal_spatial,106628,core,temporal_spatial,vector,Which Train Station did I visit in Fussa in August 2018?,2018_1860444__event_001,257,東秋留駅 (Higashi-Akiru Sta.),1,1.0000000000,True,True,True
tokyo_106628_temporal_spatial,106628,core,temporal_spatial,graph,Which Train Station did I visit in Fussa in August 2018?,2018_1860444__event_001,257,東秋留駅 (Higashi-Akiru Sta.),1,1.0000000000,True,True,True
tokyo_109617_relational_after,109617,core,relational_after,flat,Which Supermarket did I visit after ガレージオフ 相模原店?,2018_1909144__event_002,2857,イトーヨーカドー,1,1.0000000000,True,True,True
tokyo_109617_relational_after,109617,core,relational_after,vector,Which Supermarket did I visit after ガレージオフ 相模原店?,2018_1909144__event_002,2857,イトーヨーカドー,3,0.3333333333,False,True,True
tokyo_109617_relational_after,109617,core,relational_after,graph,Which Supermarket did I visit after ガレージオフ 相模原店?,2018_1909144__event_002,2857,イトーヨーカドー,3,0.3333333333,False,True,True
tokyo_109617_semantic,109617,core,semantic,flat,Which Used Bookstore did I visit in Hachiōji?,2018_1909178__event_001,433,BOOKOFF 橋本津久井街道店,1,1.0000000000,True,True,True
tokyo_109617_semantic,109617,core,semantic,vector,Which Used Bookstore did I visit in Hachiōji?,2018_1909178__event_001,433,BOOKOFF 橋本津久井街道店,1,1.0000000000,True,True,True
tokyo_109617_semantic,109617,core,semantic,graph,Which Used Bookstore did I visit in Hachiōji?,2018_1909178__event_001,433,BOOKOFF 橋本津久井街道店,1,1.0000000000,True,True,True
tokyo_109617_temporal_spatial,109617,core,temporal_spatial,flat,Which Furniture / Home Store did I visit in Hachiōji in February 2018?,2018_1909138__event_002,558,カインズ 城山店,1,1.0000000000,True,True,True
tokyo_109617_temporal_spatial,109617,core,temporal_spatial,vector,Which Furniture / Home Store did I visit in Hachiōji in February 2018?,2018_1909138__event_002,558,カインズ 城山店,2,0.5000000000,False,True,True
tokyo_109617_temporal_spatial,109617,core,temporal_spatial,graph,Which Furniture / Home Store did I visit in Hachiōji in February 2018?,2018_1909138__event_002,558,カインズ 城山店,2,0.5000000000,False,True,True
tokyo_109621_relational_after,109621,core,relational_after,flat,Which Convenience Store did I visit after ファミリーマート 八王子楢原町店?,2018_1909384__event_002,1514,サンクス 八王子七国五丁目店,2,0.5000000000,False,True,True
tokyo_109621_relational_after,109621,core,relational_after,vector,Which Convenience Store did I visit after ファミリーマート 八王子楢原町店?,2018_1909384__event_002,1514,サンクス 八王子七国五丁目店,26,0.0384615385,False,False,True
tokyo_109621_relational_after,109621,core,relational_after,graph,Which Convenience Store did I visit after ファミリーマート 八王子楢原町店?,2018_1909384__event_002,1514,サンクス 八王子七国五丁目店,31,0.0322580645,False,False,True
tokyo_109621_semantic,109621,core,semantic,flat,Which Used Bookstore did I visit in Hachiōji?,2018_1909374__event_005,1883,BOOKOFF 八王子大和田店,1,1.0000000000,True,True,True
tokyo_109621_semantic,109621,core,semantic,vector,Which Used Bookstore did I visit in Hachiōji?,2018_1909374__event_005,1883,BOOKOFF 八王子大和田店,1,1.0000000000,True,True,True
tokyo_109621_semantic,109621,core,semantic,graph,Which Used Bookstore did I visit in Hachiōji?,2018_1909374__event_005,1883,BOOKOFF 八王子大和田店,1,1.0000000000,True,True,True
tokyo_109621_temporal_spatial,109621,core,temporal_spatial,flat,Which Snack Place did I visit in Hachiōji in February 2018?,2018_1909385__event_002,4275,お食事処,1,1.0000000000,True,True,True
tokyo_109621_temporal_spatial,109621,core,temporal_spatial,vector,Which Snack Place did I visit in Hachiōji in February 2018?,2018_1909385__event_002,4275,お食事処,1,1.0000000000,True,True,True
tokyo_109621_temporal_spatial,109621,core,temporal_spatial,graph,Which Snack Place did I visit in Hachiōji in February 2018?,2018_1909385__event_002,4275,お食事処,1,1.0000000000,True,True,True
tokyo_113499_relational_after,113499,core,relational_after,flat,Which Park did I visit after ゲームプラザセントラル 八王子店?,2018_1959244__event_002,1365,横山町公園 野外ステージ,4,0.2500000000,False,True,False
tokyo_113499_relational_after,113499,core,relational_after,vector,Which Park did I visit after ゲームプラザセントラル 八王子店?,2018_1959244__event_002,1365,横山町公園 野外ステージ,2,0.5000000000,False,True,False
tokyo_113499_relational_after,113499,core,relational_after,graph,Which Park did I visit after ゲームプラザセントラル 八王子店?,2018_1959244__event_002,1365,横山町公園 野外ステージ,2,0.5000000000,False,True,False
tokyo_113499_semantic,113499,core,semantic,flat,Which Hospital did I visit in Hachiōji?,2018_1959247__event_001,2027,東京天使病院,1,1.0000000000,True,True,False
tokyo_113499_semantic,113499,core,semantic,vector,Which Hospital did I visit in Hachiōji?,2018_1959247__event_001,2027,東京天使病院,1,1.0000000000,True,True,False
tokyo_113499_semantic,113499,core,semantic,graph,Which Hospital did I visit in Hachiōji?,2018_1959247__event_001,2027,東京天使病院,1,1.0000000000,True,True,False
tokyo_113499_temporal_spatial,113499,core,temporal_spatial,flat,Which Park did I visit in Hachiōji in May 2018?,2018_1959247__event_002,1365,横山町公園 野外ステージ,1,1.0000000000,True,True,False
tokyo_113499_temporal_spatial,113499,core,temporal_spatial,vector,Which Park did I visit in Hachiōji in May 2018?,2018_1959247__event_002,1365,横山町公園 野外ステージ,1,1.0000000000,True,True,False
tokyo_113499_temporal_spatial,113499,core,temporal_spatial,graph,Which Park did I visit in Hachiōji in May 2018?,2018_1959247__event_002,1365,横山町公園 野外ステージ,1,1.0000000000,True,True,False
tokyo_113897_relational_after,113897,core,relational_after,flat,Which Sake Bar did I visit after 松のや・マイカリー食堂?,2018_1963899__event_002,2729,江梨子,1,1.0000000000,True,True,False
tokyo_113897_relational_after,113897,core,relational_after,vector,Which Sake Bar did I visit after 松のや・マイカリー食堂?,2018_1963899__event_002,2729,江梨子,4,0.2500000000,False,True,False
tokyo_113897_relational_after,113897,core,relational_after,graph,Which Sake Bar did I visit after 松のや・マイカリー食堂?,2018_1963899__event_002,2729,江梨子,4,0.2500000000,False,True,False
tokyo_113897_semantic,113897,core,semantic,flat,Which Ramen Restaurant did I visit in Hachiōji?,2018_1963910__event_002,562,六角堂 橋本店,1,1.0000000000,True,True,False
tokyo_113897_semantic,113897,core,semantic,vector,Which Ramen Restaurant did I visit in Hachiōji?,2018_1963910__event_002,562,六角堂 橋本店,1,1.0000000000,True,True,False
tokyo_113897_semantic,113897,core,semantic,graph,Which Ramen Restaurant did I visit in Hachiōji?,2018_1963910__event_002,562,六角堂 橋本店,1,1.0000000000,True,True,False
tokyo_113897_temporal_spatial,113897,core,temporal_spatial,flat,Which Lounge did I visit in Hachiōji in April 2018?,2018_1963913__event_002,4312,サンライズ,1,1.0000000000,True,True,False
tokyo_113897_temporal_spatial,113897,core,temporal_spatial,vector,Which Lounge did I visit in Hachiōji in April 2018?,2018_1963913__event_002,4312,サンライズ,1,1.0000000000,True,True,False
tokyo_113897_temporal_spatial,113897,core,temporal_spatial,graph,Which Lounge did I visit in Hachiōji in April 2018?,2018_1963913__event_002,4312,サンライズ,1,1.0000000000,True,True,False
tokyo_115855_relational_after,115855,core,relational_after,flat,Which Chinese Restaurant did I visit after 道の駅 八王子滝山?,2018_1984790__event_004,473,南京亭,1,1.0000000000,True,True,False
tokyo_115855_relational_after,115855,core,relational_after,vector,Which Chinese Restaurant did I visit after 道の駅 八王子滝山?,2018_1984790__event_004,473,南京亭,2,0.5000000000,False,True,False
tokyo_115855_relational_after,115855,core,relational_after,graph,Which Chinese Restaurant did I visit after 道の駅 八王子滝山?,2018_1984790__event_004,473,南京亭,2,0.5000000000,False,True,False
tokyo_115855_semantic,115855,core,semantic,flat,Which BBQ Joint did I visit in Hachiōji?,2018_1984781__event_001,2623,安楽亭 相模原九沢橋店,1,1.0000000000,True,True,False
tokyo_115855_semantic,115855,core,semantic,vector,Which BBQ Joint did I visit in Hachiōji?,2018_1984781__event_001,2623,安楽亭 相模原九沢橋店,1,1.0000000000,True,True,False
tokyo_115855_semantic,115855,core,semantic,graph,Which BBQ Joint did I visit in Hachiōji?,2018_1984781__event_001,2623,安楽亭 相模原九沢橋店,1,1.0000000000,True,True,False
tokyo_115855_temporal_spatial,115855,core,temporal_spatial,flat,Which Convenience Store did I visit in Fussa in January 2018?,2018_1984792__event_001,2996,ファミリーマート 福生横田基地前店,1,1.0000000000,True,True,False
tokyo_115855_temporal_spatial,115855,core,temporal_spatial,vector,Which Convenience Store did I visit in Fussa in January 2018?,2018_1984792__event_001,2996,ファミリーマート 福生横田基地前店,1,1.0000000000,True,True,False
tokyo_115855_temporal_spatial,115855,core,temporal_spatial,graph,Which Convenience Store did I visit in Fussa in January 2018?,2018_1984792__event_001,2996,ファミリーマート 福生横田基地前店,1,1.0000000000,True,True,False
tokyo_1172_relational_after,1172,core,relational_after,flat,Which Train Station did I visit after カラオケファンタジー 橋本北口店?,2018_23942__event_003,11,橋本駅 (Hashimoto Sta.),1,1.0000000000,True,True,True
tokyo_1172_relational_after,1172,core,relational_after,vector,Which Train Station did I visit after カラオケファンタジー 橋本北口店?,2018_23942__event_003,11,橋本駅 (Hashimoto Sta.),1,1.0000000000,True,True,True
tokyo_1172_relational_after,1172,core,relational_after,graph,Which Train Station did I visit after カラオケファンタジー 橋本北口店?,2018_23942__event_003,11,橋本駅 (Hashimoto Sta.),1,1.0000000000,True,True,True
tokyo_1172_semantic,1172,core,semantic,flat,Which Steakhouse did I visit in Hachiōji?,2018_23905__event_001,409,ブロンコビリー,1,1.0000000000,True,True,True
tokyo_1172_semantic,1172,core,semantic,vector,Which Steakhouse did I visit in Hachiōji?,2018_23905__event_001,409,ブロンコビリー,1,1.0000000000,True,True,True
tokyo_1172_semantic,1172,core,semantic,graph,Which Steakhouse did I visit in Hachiōji?,2018_23905__event_001,409,ブロンコビリー,1,1.0000000000,True,True,True
tokyo_1172_temporal_spatial,1172,core,temporal_spatial,flat,Which Bakery did I visit in Hachiōji in May 2018?,2018_23928__event_002,1254,オギノパン 本社工場直売店,1,1.0000000000,True,True,True
tokyo_1172_temporal_spatial,1172,core,temporal_spatial,vector,Which Bakery did I visit in Hachiōji in May 2018?,2018_23928__event_002,1254,オギノパン 本社工場直売店,1,1.0000000000,True,True,True
tokyo_1172_temporal_spatial,1172,core,temporal_spatial,graph,Which Bakery did I visit in Hachiōji in May 2018?,2018_23928__event_002,1254,オギノパン 本社工場直売店,1,1.0000000000,True,True,True
tokyo_119597_relational_after,119597,core,relational_after,flat,Which Train Station did I visit after 箱根ヶ崎駅 (Hakonegasaki Sta.)?,2018_2023466__event_003,3,京王八王子駅 (Keiō-hachiōji Sta.),2,0.5000000000,False,True,False
tokyo_119597_relational_after,119597,core,relational_after,vector,Which Train Station did I visit after 箱根ヶ崎駅 (Hakonegasaki Sta.)?,2018_2023466__event_003,3,京王八王子駅 (Keiō-hachiōji Sta.),9,0.1111111111,False,False,False
tokyo_119597_relational_after,119597,core,relational_after,graph,Which Train Station did I visit after 箱根ヶ崎駅 (Hakonegasaki Sta.)?,2018_2023466__event_003,3,京王八王子駅 (Keiō-hachiōji Sta.),4,0.2500000000,False,True,False
tokyo_119597_semantic,119597,core,semantic,flat,Which Sushi Restaurant did I visit in Hachiōji?,2018_2023491__event_002,691,はま寿司,1,1.0000000000,True,True,False
tokyo_119597_semantic,119597,core,semantic,vector,Which Sushi Restaurant did I visit in Hachiōji?,2018_2023491__event_002,691,はま寿司,1,1.0000000000,True,True,False
tokyo_119597_semantic,119597,core,semantic,graph,Which Sushi Restaurant did I visit in Hachiōji?,2018_2023491__event_002,691,はま寿司,1,1.0000000000,True,True,False
tokyo_119597_temporal_spatial,119597,core,temporal_spatial,flat,Which Automotive Shop did I visit in Hachiōji in December 2017?,2018_2023484__event_001,479,スーパーオートバックス八王子,1,1.0000000000,True,True,False
tokyo_119597_temporal_spatial,119597,core,temporal_spatial,vector,Which Automotive Shop did I visit in Hachiōji in December 2017?,2018_2023484__event_001,479,スーパーオートバックス八王子,1,1.0000000000,True,True,False
tokyo_119597_temporal_spatial,119597,core,temporal_spatial,graph,Which Automotive Shop did I visit in Hachiōji in December 2017?,2018_2023484__event_001,479,スーパーオートバックス八王子,1,1.0000000000,True,True,False
tokyo_121554_relational_after,121554,core,relational_after,flat,Which Japanese Restaurant did I visit after 髪工房 西口店?,2018_2047595__event_002,2302,日本そば中華そば 福幸軒,1,1.0000000000,True,True,False
tokyo_121554_relational_after,121554,core,relational_after,vector,Which Japanese Restaurant did I visit after 髪工房 西口店?,2018_2047595__event_002,2302,日本そば中華そば 福幸軒,5,0.2000000000,False,True,False
tokyo_121554_relational_after,121554,core,relational_after,graph,Which Japanese Restaurant did I visit after 髪工房 西口店?,2018_2047595__event_002,2302,日本そば中華そば 福幸軒,5,0.2000000000,False,True,False
tokyo_121554_semantic,121554,core,semantic,flat,Which Udon Restaurant did I visit in Higashimurayama?,2018_2047617__event_001,3746,はなまるうどん,1,1.0000000000,True,True,False
tokyo_121554_semantic,121554,core,semantic,vector,Which Udon Restaurant did I visit in Higashimurayama?,2018_2047617__event_001,3746,はなまるうどん,1,1.0000000000,True,True,False
tokyo_121554_semantic,121554,core,semantic,graph,Which Udon Restaurant did I visit in Higashimurayama?,2018_2047617__event_001,3746,はなまるうどん,1,1.0000000000,True,True,False
tokyo_121554_temporal_spatial,121554,core,temporal_spatial,flat,Which Salon / Barbershop did I visit in Higashimurayama in April 2018?,2018_2047610__event_001,293,髪工房 西口店,1,1.0000000000,True,True,False
tokyo_121554_temporal_spatial,121554,core,temporal_spatial,vector,Which Salon / Barbershop did I visit in Higashimurayama in April 2018?,2018_2047610__event_001,293,髪工房 西口店,1,1.0000000000,True,True,False
tokyo_121554_temporal_spatial,121554,core,temporal_spatial,graph,Which Salon / Barbershop did I visit in Higashimurayama in April 2018?,2018_2047610__event_001,293,髪工房 西口店,1,1.0000000000,True,True,False
tokyo_126183_relational_after,126183,core,relational_after,flat,Which Bar did I visit after 家系ラーメン まるに家?,2018_2118390__event_003,3152,アニソンDJバー グリュック,3,0.3333333333,False,True,True
tokyo_126183_relational_after,126183,core,relational_after,vector,Which Bar did I visit after 家系ラーメン まるに家?,2018_2118390__event_003,3152,アニソンDJバー グリュック,5,0.2000000000,False,True,True
tokyo_126183_relational_after,126183,core,relational_after,graph,Which Bar did I visit after 家系ラーメン まるに家?,2018_2118390__event_003,3152,アニソンDJバー グリュック,5,0.2000000000,False,True,True
tokyo_126183_semantic,126183,core,semantic,flat,Which Coffee Shop did I visit in Hachiōji?,2018_2118349__event_002,4009,ドトールコーヒーショップ,1,1.0000000000,True,True,True
tokyo_126183_semantic,126183,core,semantic,vector,Which Coffee Shop did I visit in Hachiōji?,2018_2118349__event_002,4009,ドトールコーヒーショップ,1,1.0000000000,True,True,True
tokyo_126183_semantic,126183,core,semantic,graph,Which Coffee Shop did I visit in Hachiōji?,2018_2118349__event_002,4009,ドトールコーヒーショップ,1,1.0000000000,True,True,True
tokyo_126183_temporal_spatial,126183,core,temporal_spatial,flat,Which Japanese Restaurant did I visit in Hachiōji in January 2018?,2018_2118370__event_003,1389,大戸屋,1,1.0000000000,True,True,True
tokyo_126183_temporal_spatial,126183,core,temporal_spatial,vector,Which Japanese Restaurant did I visit in Hachiōji in January 2018?,2018_2118370__event_003,1389,大戸屋,1,1.0000000000,True,True,True
tokyo_126183_temporal_spatial,126183,core,temporal_spatial,graph,Which Japanese Restaurant did I visit in Hachiōji in January 2018?,2018_2118370__event_003,1389,大戸屋,1,1.0000000000,True,True,True
tokyo_127201_relational_after,127201,core,relational_after,flat,Which Italian Restaurant did I visit after スーパースポーツゼビオ?,2018_2134912__event_003,1544,ビュッフェパンチュール ( Buffet Peinture ),2,0.5000000000,False,True,False
tokyo_127201_relational_after,127201,core,relational_after,vector,Which Italian Restaurant did I visit after スーパースポーツゼビオ?,2018_2134912__event_003,1544,ビュッフェパンチュール ( Buffet Peinture ),1,1.0000000000,True,True,False
tokyo_127201_relational_after,127201,core,relational_after,graph,Which Italian Restaurant did I visit after スーパースポーツゼビオ?,2018_2134912__event_003,1544,ビュッフェパンチュール ( Buffet Peinture ),1,1.0000000000,True,True,False
tokyo_127201_semantic,127201,core,semantic,flat,Which Chinese Restaurant did I visit in Higashimurayama?,2018_2134917__event_001,2111,一品菜 新小平店,1,1.0000000000,True,True,False
tokyo_127201_semantic,127201,core,semantic,vector,Which Chinese Restaurant did I visit in Higashimurayama?,2018_2134917__event_001,2111,一品菜 新小平店,1,1.0000000000,True,True,False
tokyo_127201_semantic,127201,core,semantic,graph,Which Chinese Restaurant did I visit in Higashimurayama?,2018_2134917__event_001,2111,一品菜 新小平店,1,1.0000000000,True,True,False
tokyo_127201_temporal_spatial,127201,core,temporal_spatial,flat,Which Sporting Goods Shop did I visit in Hachiōji in October 2017?,2018_2134912__event_002,1383,スーパースポーツゼビオ,1,1.0000000000,True,True,False
tokyo_127201_temporal_spatial,127201,core,temporal_spatial,vector,Which Sporting Goods Shop did I visit in Hachiōji in October 2017?,2018_2134912__event_002,1383,スーパースポーツゼビオ,1,1.0000000000,True,True,False
tokyo_127201_temporal_spatial,127201,core,temporal_spatial,graph,Which Sporting Goods Shop did I visit in Hachiōji in October 2017?,2018_2134912__event_002,1383,スーパースポーツゼビオ,1,1.0000000000,True,True,False
tokyo_129047_relational_after,129047,core,relational_after,flat,Which Train Station did I visit after 拝島駅 (Haijima Sta.)?,2018_2163684__event_002,148,福生駅 (Fussa Sta.),1,1.0000000000,True,True,False
tokyo_129047_relational_after,129047,core,relational_after,vector,Which Train Station did I visit after 拝島駅 (Haijima Sta.)?,2018_2163684__event_002,148,福生駅 (Fussa Sta.),2,0.5000000000,False,True,False
tokyo_129047_relational_after,129047,core,relational_after,graph,Which Train Station did I visit after 拝島駅 (Haijima Sta.)?,2018_2163684__event_002,148,福生駅 (Fussa Sta.),2,0.5000000000,False,True,False
tokyo_129047_semantic,129047,core,semantic,flat,Which Restaurant did I visit in Hachiōji?,2018_2163670__event_002,1827,ガスト,1,1.0000000000,True,True,False
tokyo_129047_semantic,129047,core,semantic,vector,Which Restaurant did I visit in Hachiōji?,2018_2163670__event_002,1827,ガスト,1,1.0000000000,True,True,False
