query_id,user_id,query_type,query_text,target_event_id,dense_target_rank,onehop_target_rank,ppr_rrf_target_rank,raw_ppr_target_rank,raw_ppr_target_score,ppr_rrf_rank_gain_vs_dense,ppr_rrf_rank_gain_vs_onehop,ppr_rrf_outcome_vs_dense,ppr_rrf_outcome_vs_onehop,dense_top1_event_id,onehop_top1_event_id,ppr_rrf_top1_event_id,ppr_rrf_top1_identical_to_dense,ppr_rrf_top1_identical_to_onehop,target_is_dense_seed,shortest_any_relation_distance,shortest_any_relation_distance_bucket,shortest_next_only_distance,shortest_next_only_distance_bucket,is_high_memory_load
tokyo_109621_temporal_spatial,109621,temporal_spatial,Which Snack Place did I visit in Hachiōji in February 2018?,2018_1909385__event_002,1,1,2,3,0.1186524950,-1,-1,worsened,worsened,2018_1909385__event_002,2018_1909385__event_002,2018_1909388__event_001,False,False,True,0,0,0,0,True
tokyo_113499_relational_after,113499,relational_after,Which Park did I visit after ゲームプラザセントラル 八王子店?,2018_1959244__event_002,3,3,4,4,0.1374719298,-1,-1,worsened,worsened,2018_1959244__event_001,2018_1959244__event_001,2018_1959244__event_001,True,True,True,0,0,0,0,False
tokyo_113499_semantic,113499,semantic,Which Hospital did I visit in Hachiōji?,2018_1959247__event_001,1,1,1,1,0.1445563784,0,0,unchanged,unchanged,2018_1959247__event_001,2018_1959247__event_001,2018_1959247__event_001,True,True,True,0,0,0,0,False
tokyo_113499_temporal_spatial,113499,temporal_spatial,Which Park did I visit in Hachiōji in May 2018?,2018_1959247__event_002,3,3,3,3,0.1121039882,0,0,unchanged,unchanged,2018_1959250__event_001,2018_1959250__event_001,2018_1959250__event_001,True,True,True,0,0,0,0,False
tokyo_113897_relational_after,113897,relational_after,Which Sake Bar did I visit after 松のや・マイカリー食堂?,2018_1963899__event_002,1,1,2,2,0.1425495676,-1,-1,worsened,worsened,2018_1963899__event_002,2018_1963899__event_002,2018_1963899__event_001,False,False,True,0,0,0,0,False
tokyo_113897_semantic,113897,semantic,Which Ramen Restaurant did I visit in Hachiōji?,2018_1963910__event_002,1,1,1,1,0.1187490250,0,0,unchanged,unchanged,2018_1963910__event_002,2018_1963910__event_002,2018_1963910__event_002,True,True,True,0,0,0,0,False
tokyo_113897_temporal_spatial,113897,temporal_spatial,Which Lounge did I visit in Hachiōji in April 2018?,2018_1963913__event_002,3,3,3,3,0.1182542261,0,0,unchanged,unchanged,2018_1963902__event_002,2018_1963902__event_002,2018_1963902__event_002,True,True,True,0,0,0,0,False
tokyo_115855_relational_after,115855,relational_after,Which Chinese Restaurant did I visit after 道の駅 八王子滝山?,2018_1984790__event_004,1,1,2,3,0.1351732810,-1,-1,worsened,worsened,2018_1984790__event_004,2018_1984790__event_004,2018_1984790__event_003,False,False,True,0,0,0,0,False
tokyo_115855_semantic,115855,semantic,Which BBQ Joint did I visit in Hachiōji?,2018_1984781__event_001,1,1,2,4,0.1179510349,-1,-1,worsened,worsened,2018_1984781__event_001,2018_1984781__event_001,2018_1984800__event_002,False,False,True,0,0,0,0,False
tokyo_115855_temporal_spatial,115855,temporal_spatial,Which Convenience Store did I visit in Fussa in January 2018?,2018_1984792__event_001,1,1,1,1,0.1477534180,0,0,unchanged,unchanged,2018_1984792__event_001,2018_1984792__event_001,2018_1984792__event_001,True,True,True,0,0,0,0,False
tokyo_1172_relational_after,1172,relational_after,Which Train Station did I visit after カラオケファンタジー 橋本北口店?,2018_23942__event_003,1,1,2,4,0.1418203034,-1,-1,worsened,worsened,2018_23942__event_003,2018_23942__event_003,2018_23942__event_002,False,False,True,0,0,0,0,True
tokyo_1172_semantic,1172,semantic,Which Steakhouse did I visit in Hachiōji?,2018_23905__event_001,1,1,1,1,0.1176682330,0,0,unchanged,unchanged,2018_23905__event_001,2018_23905__event_001,2018_23905__event_001,True,True,True,0,0,0,0,True
tokyo_1172_temporal_spatial,1172,temporal_spatial,Which Bakery did I visit in Hachiōji in May 2018?,2018_23928__event_002,2,2,3,3,0.1142804370,-1,-1,worsened,worsened,2018_23894__event_002,2018_23894__event_002,2018_23894__event_002,True,True,True,0,0,0,0,True
tokyo_119597_relational_after,119597,relational_after,Which Train Station did I visit after 箱根ヶ崎駅 (Hakonegasaki Sta.)?,2018_2023466__event_003,3,3,3,3,0.1344005416,0,0,unchanged,unchanged,2018_2023466__event_002,2018_2023466__event_002,2018_2023466__event_002,True,True,True,0,0,0,0,False
tokyo_119597_semantic,119597,semantic,Which Sushi Restaurant did I visit in Hachiōji?,2018_2023491__event_002,1,1,1,1,0.1191149636,0,0,unchanged,unchanged,2018_2023491__event_002,2018_2023491__event_002,2018_2023491__event_002,True,True,True,0,0,0,0,False
tokyo_119597_temporal_spatial,119597,temporal_spatial,Which Automotive Shop did I visit in Hachiōji in December 2017?,2018_2023484__event_001,3,4,4,4,0.1163562149,-1,0,worsened,unchanged,2018_2023484__event_004,2018_2023484__event_004,2018_2023484__event_004,True,True,True,0,0,0,0,False
tokyo_121554_relational_after,121554,relational_after,Which Japanese Restaurant did I visit after 髪工房 西口店?,2018_2047595__event_002,3,2,3,3,0.1400720158,0,-1,unchanged,worsened,2018_2047595__event_001,2018_2047595__event_001,2018_2047595__event_001,True,True,True,0,0,0,0,False
tokyo_121554_semantic,121554,semantic,Which Udon Restaurant did I visit in Higashimurayama?,2018_2047617__event_001,1,1,1,1,0.1199865422,0,0,unchanged,unchanged,2018_2047617__event_001,2018_2047617__event_001,2018_2047617__event_001,True,True,True,0,0,0,0,False
tokyo_121554_temporal_spatial,121554,temporal_spatial,Which Salon / Barbershop did I visit in Higashimurayama in April 2018?,2018_2047610__event_001,2,2,2,2,0.1458208916,0,0,unchanged,unchanged,2018_2047595__event_001,2018_2047595__event_001,2018_2047595__event_001,True,True,True,0,0,0,0,False
tokyo_126183_relational_after,126183,relational_after,Which Bar did I visit after 家系ラーメン まるに家?,2018_2118390__event_003,3,4,4,4,0.1323955043,-1,0,worsened,unchanged,2018_2118382__event_003,2018_2118382__event_003,2018_2118382__event_003,True,True,True,0,0,0,0,True
tokyo_126183_semantic,126183,semantic,Which Coffee Shop did I visit in Hachiōji?,2018_2118349__event_002,1,1,1,1,0.1179283680,0,0,unchanged,unchanged,2018_2118349__event_002,2018_2118349__event_002,2018_2118349__event_002,True,True,True,0,0,0,0,True
tokyo_126183_temporal_spatial,126183,temporal_spatial,Which Japanese Restaurant did I visit in Hachiōji in January 2018?,2018_2118370__event_003,2,2,3,3,0.1133744857,-1,-1,worsened,worsened,2018_2118374__event_002,2018_2118374__event_002,2018_2118374__event_002,True,True,True,0,0,0,0,True
tokyo_127201_relational_after,127201,relational_after,Which Italian Restaurant did I visit after スーパースポーツゼビオ?,2018_2134912__event_003,3,4,2,2,0.1374129939,1,2,improved,improved,2018_2134912__event_002,2018_2134912__event_002,2018_2134912__event_002,True,True,True,0,0,0,0,False
tokyo_127201_semantic,127201,semantic,Which Chinese Restaurant did I visit in Higashimurayama?,2018_2134917__event_001,1,1,1,1,0.1185336164,0,0,unchanged,unchanged,2018_2134917__event_001,2018_2134917__event_001,2018_2134917__event_001,True,True,True,0,0,0,0,False
tokyo_127201_temporal_spatial,127201,temporal_spatial,Which Sporting Goods Shop did I visit in Hachiōji in October 2017?,2018_2134912__event_002,1,1,1,2,0.1415742092,0,0,unchanged,unchanged,2018_2134912__event_002,2018_2134912__event_002,2018_2134912__event_002,True,True,True,0,0,0,0,False
tokyo_129047_relational_after,129047,relational_after,Which Train Station did I visit after 拝島駅 (Haijima Sta.)?,2018_2163684__event_002,2,2,2,2,0.1472764556,0,0,unchanged,unchanged,2018_2163684__event_001,2018_2163684__event_001,2018_2163684__event_001,True,True,True,0,0,0,0,False
tokyo_129047_semantic,129047,semantic,Which Restaurant did I visit in Hachiōji?,2018_2163670__event_002,1,1,1,1,0.1402485308,0,0,unchanged,unchanged,2018_2163670__event_002,2018_2163670__event_002,2018_2163670__event_002,True,True,True,0,0,0,0,False
tokyo_129047_temporal_spatial,129047,temporal_spatial,Which Restaurant did I visit in Hachiōji in February 2018?,2018_2163670__event_002,2,2,1,1,0.1385743860,1,1,improved,improved,2018_2163670__event_003,2018_2163670__event_003,2018_2163670__event_002,False,False,True,0,0,0,0,False
tokyo_130084_relational_after,130084,relational_after,Which Bar did I visit after New Flame International Shot Bar?,2018_2179339__event_002,3,3,4,4,0.1374310927,-1,-1,worsened,worsened,2018_2179339__event_001,2018_2179339__event_001,2018_2179339__event_001,True,True,True,0,0,0,0,True
tokyo_130084_semantic,130084,semantic,Which Multiplex did I visit in Hachiōji?,2018_2179333__event_001,1,1,2,3,0.1155434760,-1,-1,worsened,worsened,2018_2179333__event_001,2018_2179333__event_001,2018_2179323__event_002,False,False,True,0,0,0,0,True
tokyo_130084_temporal_spatial,130084,temporal_spatial,Which Butcher did I visit in Hachiōji in April 2018?,2018_2179329__event_003,1,1,2,4,0.1140181439,-1,-1,worsened,worsened,2018_2179329__event_003,2018_2179329__event_003,2018_2179310__event_002,False,False,True,0,0,0,0,True
tokyo_130568_relational_after,130568,relational_after,Which Convenience Store did I visit after ENEOS フレンドリーセルフ88SS?,2018_2187169__event_002,2,2,2,2,0.1461669815,0,0,unchanged,unchanged,2018_2187169__event_001,2018_2187169__event_001,2018_2187169__event_001,True,True,True,0,0,0,0,False
tokyo_130568_semantic,130568,semantic,Which Udon Restaurant did I visit in Hachiōji?,2018_2187171__event_001,1,1,1,2,0.1139135860,0,0,unchanged,unchanged,2018_2187171__event_001,2018_2187171__event_001,2018_2187171__event_001,True,True,True,0,0,0,0,False
tokyo_130568_temporal_spatial,130568,temporal_spatial,Which Car Wash did I visit in Hachiōji in October 2017?,2018_2187162__event_001,2,2,3,5,0.1146665690,-1,-1,worsened,worsened,2018_2187173__event_005,2018_2187173__event_005,2018_2187173__event_005,True,True,True,0,0,0,0,False
tokyo_130777_relational_after,130777,relational_after,Which Ice Cream Shop did I visit after 相模原駅 (Sagamihara Sta.)(JH27)?,2018_2190768__event_003,3,4,2,2,0.1332754813,1,2,improved,improved,2018_2190768__event_002,2018_2190768__event_002,2018_2190768__event_002,True,True,True,0,0,0,0,False
tokyo_130777_semantic,130777,semantic,Which Clothing Store did I visit in Hachiōji?,2018_2190763__event_002,1,1,2,3,0.1187818037,-1,-1,worsened,worsened,2018_2190763__event_002,2018_2190763__event_002,2018_2190702__event_001,False,False,True,0,0,0,0,False
tokyo_130777_temporal_spatial,130777,temporal_spatial,Which Supermarket did I visit in Hachiōji in December 2017?,2018_2190703__event_002,3,3,3,3,0.1158535729,0,0,unchanged,unchanged,2018_2190702__event_001,2018_2190702__event_001,2018_2190702__event_001,True,True,True,0,0,0,0,False
tokyo_130872_relational_after,130872,relational_after,Which Intersection did I visit after 鳥居原ふれあいの館?,2018_2192457__event_003,5,8,5,5,0.1114600873,0,3,unchanged,improved,2018_2192458__event_001,2018_2192458__event_001,2018_2192458__event_001,True,True,True,0,0,0,0,False
tokyo_130872_semantic,130872,semantic,Which Park did I visit in Hachiōji?,2018_2192451__event_003,1,1,2,4,0.1134604389,-1,-1,worsened,worsened,2018_2192451__event_003,2018_2192451__event_003,2018_2192476__event_001,False,False,True,0,0,0,0,False
tokyo_130872_temporal_spatial,130872,temporal_spatial,Which Parking did I visit in Hachiōji in September 2018?,2018_2192476__event_001,1,1,1,1,0.1183237162,0,0,unchanged,unchanged,2018_2192476__event_001,2018_2192476__event_001,2018_2192476__event_001,True,True,True,0,0,0,0,False
tokyo_131525_relational_after,131525,relational_after,Which Video Game Store did I visit after 羽村駅 (Hamura Sta.)?,2018_2202067__event_002,1,1,2,2,0.1457194653,-1,-1,worsened,worsened,2018_2202067__event_002,2018_2202067__event_002,2018_2202067__event_001,False,False,True,0,0,0,0,False
tokyo_131525_semantic,131525,semantic,Which Sushi Restaurant did I visit in Fussa?,2018_2202078__event_002,1,1,1,1,0.1183018364,0,0,unchanged,unchanged,2018_2202078__event_002,2018_2202078__event_002,2018_2202078__event_002,True,True,True,0,0,0,0,False
tokyo_131525_temporal_spatial,131525,temporal_spatial,Which Hobby Shop did I visit in Fussa in February 2018?,2018_2202069__event_002,1,1,1,1,0.1446979515,0,0,unchanged,unchanged,2018_2202069__event_002,2018_2202069__event_002,2018_2202069__event_002,True,True,True,0,0,0,0,False
tokyo_132723_relational_after,132723,relational_after,Which Arcade did I visit after 一本堂 相模原橋本店?,2018_2219866__event_002,1,1,1,1,0.1439762087,0,0,unchanged,unchanged,2018_2219866__event_002,2018_2219866__event_002,2018_2219866__event_002,True,True,True,0,0,0,0,True
tokyo_132723_semantic,132723,semantic,Which Asian Restaurant did I visit in Hachiōji?,2018_2219917__event_003,3,3,4,5,0.1120530361,-1,-1,worsened,worsened,2018_2219906__event_002,2018_2219906__event_002,2018_2219906__event_002,True,True,True,0,0,0,0,True
tokyo_132723_temporal_spatial,132723,temporal_spatial,Which Multiplex did I visit in Hachiōji in September 2018?,2018_2219915__event_001,3,3,4,4,0.1202350956,-1,-1,worsened,worsened,2018_2219904__event_002,2018_2219904__event_002,2018_2219903__event_002,False,False,True,0,0,0,0,True
tokyo_134307_relational_after,134307,relational_after,Which Supermarket did I visit after ドン・キホーテ 多摩瑞穂店?,2018_2242042__event_002,4,4,4,4,0.1412762729,0,0,unchanged,unchanged,2018_2242033__event_003,2018_2242033__event_003,2018_2242033__event_002,False,False,True,0,0,0,0,False
tokyo_134307_semantic,134307,semantic,Which Park did I visit in Fussa?,2018_2242051__event_003,1,1,2,4,0.1148062700,-1,-1,worsened,worsened,2018_2242051__event_003,2018_2242051__event_003,2018_2242026__event_002,False,False,True,0,0,0,0,False
tokyo_134307_temporal_spatial,134307,temporal_spatial,Which Sushi Restaurant did I visit in Fussa in February 2018?,2018_2242038__event_002,1,1,1,1,0.1443560837,0,0,unchanged,unchanged,2018_2242038__event_002,2018_2242038__event_002,2018_2242038__event_002,True,True,True,0,0,0,0,False
tokyo_135393_relational_after,135393,relational_after,Which Japanese Curry Restaurant did I visit after 八王子駅 (Hachiōji Sta.)?,2018_2257260__event_002,4,4,2,1,0.1158461589,2,2,improved,improved,2018_2257268__event_001,2018_2257268__event_001,2018_2257268__event_001,True,True,True,0,0,0,0,False
tokyo_135393_semantic,135393,semantic,Which Japanese Restaurant did I visit in Hachiōji?,2018_2257280__event_002,14,17,25,41,0.0000012230,-11,-8,worsened,worsened,2018_2257283__event_003,2018_2257283__event_003,2018_2257283__event_003,True,True,False,7,3+,,unreachable,False
tokyo_135393_temporal_spatial,135393,temporal_spatial,Which Casino did I visit in Hachiōji in January 2018?,2018_2257283__event_004,1,1,1,1,0.1180406967,0,0,unchanged,unchanged,2018_2257283__event_004,2018_2257283__event_004,2018_2257283__event_004,True,True,True,0,0,0,0,False
tokyo_138301_relational_after,138301,relational_after,Which Fast Food Restaurant did I visit after カインズ 城山店?,2018_2294104__event_003,2,2,2,2,0.1274983579,0,0,unchanged,unchanged,2018_2294104__event_002,2018_2294104__event_002,2018_2294104__event_002,True,True,True,0,0,0,0,False
tokyo_138301_semantic,138301,semantic,Which Train Station did I visit in Hachiōji?,2018_2294095__event_002,1,1,1,1,0.1470502183,0,0,unchanged,unchanged,2018_2294095__event_002,2018_2294095__event_002,2018_2294095__event_002,True,True,True,0,0,0,0,False
tokyo_138301_temporal_spatial,138301,temporal_spatial,Which Donburi Restaurant did I visit in Hachiōji in June 2018?,2018_2294117__event_001,1,1,1,1,0.1212009565,0,0,unchanged,unchanged,2018_2294117__event_001,2018_2294117__event_001,2018_2294117__event_001,True,True,True,0,0,0,0,False
tokyo_139656_relational_after,139656,relational_after,Which Rest Area did I visit after ジョイフル?,2018_2308851__event_002,2,2,2,1,0.1367016145,0,0,unchanged,unchanged,2018_2308851__event_001,2018_2308851__event_001,2018_2308851__event_001,True,True,True,0,0,0,0,True
tokyo_139656_semantic,139656,semantic,Which Gas Station did I visit in Fussa?,2018_2308863__event_002,1,1,1,1,0.1245485220,0,0,unchanged,unchanged,2018_2308863__event_002,2018_2308863__event_002,2018_2308863__event_002,True,True,True,0,0,0,0,True
tokyo_139656_temporal_spatial,139656,temporal_spatial,Which Restaurant did I visit in Hachiōji in December 2017?,2018_2308851__event_001,15,20,11,11,0.0069440414,4,9,improved,improved,2018_2308846__event_002,2018_2308846__event_002,2018_2308846__event_002,True,True,False,2,2,2,2,True
tokyo_140734_relational_after,140734,relational_after,Which Discount Store did I visit after ホテル・ザ・ウエスト?,2018_2320244__event_002,1,1,1,1,0.1466494078,0,0,unchanged,unchanged,2018_2320244__event_002,2018_2320244__event_002,2018_2320244__event_002,True,True,True,0,0,0,0,False
tokyo_140734_semantic,140734,semantic,Which Building did I visit in Hachiōji?,2018_2320266__event_001,3,3,3,3,0.1160123424,0,0,unchanged,unchanged,2018_2320244__event_001,2018_2320244__event_001,2018_2320244__event_001,True,True,True,0,0,0,0,False
tokyo_140734_temporal_spatial,140734,temporal_spatial,Which Discount Store did I visit in Fussa in March 2018?,2018_2320253__event_004,1,1,1,2,0.1314157911,0,0,unchanged,unchanged,2018_2320253__event_004,2018_2320253__event_004,2018_2320253__event_004,True,True,True,0,0,0,0,False
tokyo_140775_relational_after,140775,relational_after,Which Ramen Restaurant did I visit after 八王子駅 (Hachiōji Sta.)?,2018_2320657__event_002,1,1,1,1,0.1460286664,0,0,unchanged,unchanged,2018_2320657__event_002,2018_2320657__event_002,2018_2320657__event_002,True,True,True,0,0,0,0,False
tokyo_140775_semantic,140775,semantic,Which Bus Station did I visit in Hachiōji?,2018_2320660__event_002,4,3,4,3,0.1420244766,0,-1,unchanged,worsened,2018_2320660__event_001,2018_2320660__event_001,2018_2320666__event_001,False,False,True,0,0,0,0,False
tokyo_140775_temporal_spatial,140775,temporal_spatial,Which Discount Store did I visit in Hachiōji in January 2018?,2018_2320655__event_001,1,1,1,1,0.1437416553,0,0,unchanged,unchanged,2018_2320655__event_001,2018_2320655__event_001,2018_2320655__event_001,True,True,True,0,0,0,0,False
tokyo_149225_relational_after,149225,relational_after,Which Arcade did I visit after 東京工科大学行き　八王子駅バスターミナル?,2018_2402537__event_002,4,5,5,5,0.1143848790,-1,0,worsened,unchanged,2018_2402528__event_001,2018_2402528__event_001,2018_2402528__event_001,True,True,True,0,0,0,0,False
tokyo_149225_semantic,149225,semantic,Which Toy / Game Store did I visit in Hachiōji?,2018_2402517__event_002,1,1,1,1,0.1647804636,0,0,unchanged,unchanged,2018_2402517__event_002,2018_2402517__event_002,2018_2402517__event_002,True,True,True,0,0,0,0,False
tokyo_149225_temporal_spatial,149225,temporal_spatial,Which Ramen Restaurant did I visit in Hachiōji in April 2018?,2018_2402529__event_002,2,2,2,2,0.1149614647,0,0,unchanged,unchanged,2018_2402533__event_002,2018_2402533__event_002,2018_2402533__event_002,True,True,True,0,0,0,0,False
tokyo_152722_relational_after,152722,relational_after,Which Train Station did I visit after 京王八王子ショッピングセンター?,2018_2446506__event_002,1,1,1,3,0.1383888162,0,0,unchanged,unchanged,2018_2446506__event_002,2018_2446506__event_002,2018_2446506__event_002,True,True,True,0,0,0,0,False
tokyo_152722_semantic,152722,semantic,Which Shopping Plaza did I visit in Hachiōji?,2018_2446517__event_003,1,1,2,4,0.1326178847,-1,-1,worsened,worsened,2018_2446517__event_003,2018_2446517__event_003,2018_2446506__event_001,False,False,True,0,0,0,0,False
tokyo_152722_temporal_spatial,152722,temporal_spatial,Which Shopping Plaza did I visit in Hachiōji in December 2017?,2018_2446517__event_003,1,1,2,4,0.1321207908,-1,-1,worsened,worsened,2018_2446517__event_003,2018_2446517__event_003,2018_2446506__event_001,False,False,True,0,0,0,0,False
tokyo_156873_relational_after,156873,relational_after,Which Racetrack did I visit after 軽自動車検査協会 八王子支所?,2018_2498120__event_002,1,1,2,2,0.1409331250,-1,-1,worsened,worsened,2018_2498120__event_002,2018_2498120__event_002,2018_2498120__event_001,False,False,True,0,0,0,0,True
tokyo_156873_semantic,156873,semantic,Which Italian Restaurant did I visit in Fussa?,2018_2498146__event_002,1,1,1,1,0.1173488555,0,0,unchanged,unchanged,2018_2498146__event_002,2018_2498146__event_002,2018_2498146__event_002,True,True,True,0,0,0,0,True
tokyo_156873_temporal_spatial,156873,temporal_spatial,Which Arcade did I visit in Fussa in February 2018?,2018_2498138__event_001,1,1,1,1,0.1163868519,0,0,unchanged,unchanged,2018_2498138__event_001,2018_2498138__event_001,2018_2498138__event_001,True,True,True,0,0,0,0,True
tokyo_167728_relational_after,167728,relational_after,Which Fishing Store did I visit after からやま?,2018_2604406__event_002,1,1,1,1,0.1441029858,0,0,unchanged,unchanged,2018_2604406__event_002,2018_2604406__event_002,2018_2604406__event_002,True,True,True,0,0,0,0,True
tokyo_167728_semantic,167728,semantic,Which Cable Car did I visit in Hachiōji?,2018_2604362__event_001,1,1,2,2,0.1170828755,-1,-1,worsened,worsened,2018_2604362__event_001,2018_2604362__event_001,2018_2604345__event_002,False,False,True,0,0,0,0,True
