query_id,user_id,target_event_id,target_reachable_before_category_filter,target_in_category_matched_candidates,uniquely_resolved_target,candidate_status,next_successor_count,category_matched_candidate_count,is_high_memory_load
tokyo_28697_relational_after,28697,2018_580909__event_002,True,True,True,unique_candidate,2,1,False
tokyo_290806_relational_after,290806,2018_3462039__event_002,True,True,True,unique_candidate,1,1,False
tokyo_29501_relational_after,29501,2018_596177__event_004,True,True,True,unique_candidate,1,1,False
tokyo_29757_relational_after,29757,2018_601373__event_002,True,True,True,unique_candidate,1,1,False
tokyo_29764_relational_after,29764,2018_601478__event_003,True,True,True,unique_candidate,1,1,False
tokyo_31204_relational_after,31204,2018_631691__event_002,True,True,True,unique_candidate,1,1,False
tokyo_32545_relational_after,32545,2018_661962__event_003,True,True,True,unique_candidate,1,1,True
tokyo_325605_relational_after,325605,2018_3674468__event_002,True,True,True,unique_candidate,2,1,True
tokyo_328941_relational_after,328941,2018_3694439__event_002,True,True,True,unique_candidate,1,1,False
tokyo_339444_relational_after,339444,2018_3757165__event_005,True,True,True,unique_candidate,1,1,False
tokyo_342180_relational_after,342180,2018_3773318__event_004,True,True,True,unique_candidate,4,1,True
tokyo_34258_relational_after,34258,2018_698467__event_004,True,True,True,unique_candidate,8,1,False
tokyo_347501_relational_after,347501,2018_3804279__event_002,True,True,True,unique_candidate,1,1,False
tokyo_348059_relational_after,348059,2018_3807516__event_004,True,True,True,unique_candidate,1,1,False
tokyo_348682_relational_after,348682,2018_3811346__event_002,True,True,True,unique_candidate,7,1,False
tokyo_350248_relational_after,350248,2018_3820531__event_002,True,True,True,unique_candidate,2,1,True
tokyo_356419_relational_after,356419,2018_3855579__event_002,True,True,True,unique_candidate,2,1,False
tokyo_35718_relational_after,35718,2018_727120__event_002,True,True,True,unique_candidate,6,1,False
tokyo_362630_relational_after,362630,2018_3889086__event_003,True,True,True,unique_candidate,1,1,False
tokyo_36487_relational_after,36487,2018_741708__event_003,True,True,True,unique_candidate,1,1,False
tokyo_365381_relational_after,365381,2018_3903074__event_002,True,True,True,unique_candidate,2,1,False
tokyo_41088_relational_after,41088,2018_830967__event_002,True,True,True,unique_candidate,1,1,True
tokyo_42282_relational_after,42282,2018_852454__event_002,True,True,True,unique_candidate,2,1,False
tokyo_44616_relational_after,44616,2018_895859__event_003,True,True,True,unique_candidate,1,1,False
tokyo_45189_relational_after,45189,2018_907314__event_003,True,True,True,unique_candidate,1,1,False
tokyo_45205_relational_after,45205,2018_907559__event_002,True,True,True,unique_candidate,9,1,True
tokyo_50046_relational_after,50046,2018_1004059__event_002,True,True,True,unique_candidate,2,1,True
tokyo_51031_relational_after,51031,2018_1023518__event_002,True,True,True,unique_candidate,1,1,True
tokyo_51516_relational_after,51516,2018_1033040__event_002,True,True,True,unique_candidate,1,1,False
tokyo_52894_relational_after,52894,2018_1058960__event_002,True,True,True,unique_candidate,2,1,False
tokyo_53205_relational_after,53205,2018_1065533__event_002,True,True,True,unique_candidate,5,1,False
tokyo_53405_relational_after,53405,2018_1069059__event_003,True,True,True,unique_candidate,1,1,False
tokyo_55985_relational_after,55985,2018_1115816__event_002,True,True,True,unique_candidate,1,1,False
tokyo_59554_relational_after,59554,2018_1176858__event_002,True,True,True,unique_candidate,1,1,False
tokyo_60393_relational_after,60393,2018_1190515__event_002,True,True,True,unique_candidate,3,1,True
tokyo_70564_relational_after,70564,2018_1332637__event_002,True,True,True,unique_candidate,1,1,True
tokyo_70703_relational_after,70703,2018_1335107__event_002,True,True,True,unique_candidate,1,1,False
tokyo_72210_relational_after,72210,2018_1357875__event_003,True,True,True,unique_candidate,2,1,False
tokyo_72444_relational_after,72444,2018_1361355__event_005,True,True,True,unique_candidate,1,1,False
tokyo_74188_relational_after,74188,2018_1388327__event_003,True,True,True,unique_candidate,1,1,False
tokyo_74982_relational_after,74982,2018_1402558__event_002,True,True,True,unique_candidate,1,1,False
tokyo_78286_relational_after,78286,2018_1453204__event_002,True,True,True,unique_candidate,1,1,True
tokyo_79139_relational_after,79139,2018_1466945__event_002,True,True,True,unique_candidate,2,1,False
tokyo_79719_relational_after,79719,2018_1475337__event_002,True,True,True,unique_candidate,1,1,True
tokyo_80051_relational_after,80051,2018_1480024__event_002,True,True,True,unique_candidate,1,1,False
tokyo_80415_relational_after,80415,2018_1485522__event_003,True,True,True,unique_candidate,1,1,False
tokyo_80480_relational_after,80480,2018_1486542__event_002,True,True,True,unique_candidate,1,1,False
tokyo_86988_relational_after,86988,2018_1596296__event_002,True,True,True,unique_candidate,1,1,True
tokyo_88625_relational_after,88625,2018_1619235__event_004,True,True,True,unique_candidate,1,1,False
tokyo_88793_relational_after,88793,2018_1621573__event_002,True,True,True,unique_candidate,1,1,True
