query_id,user_id,query_text,target_event_id,is_high_memory_load,dense_target_rank,symmetric_target_rank,next_only_target_rank,dense_reciprocal_rank,symmetric_reciprocal_rank,next_only_reciprocal_rank,symmetric_rr_delta_vs_dense,next_only_rr_delta_vs_dense,next_only_rr_delta_vs_symmetric,symmetric_outcome_vs_dense,next_only_outcome_vs_dense,next_only_outcome_vs_symmetric,symmetric_first_reach_relation,next_only_first_reach_relation,dense_top1_event_id,symmetric_top1_event_id,next_only_top1_event_id,symmetric_top1_identical_to_dense,next_only_top1_identical_to_dense
tokyo_339444_relational_after,339444,Which Convenience Store did I visit after らあめん花月嵐 小平仲町店?,2018_3757165__event_005,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_3757165__event_004,2018_3757165__event_004,2018_3757165__event_004,True,True
tokyo_342180_relational_after,342180,Which Bowling Alley did I visit after 道の駅 八王子滝山?,2018_3773318__event_004,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3773318__event_004,2018_3773318__event_004,2018_3773318__event_004,True,True
tokyo_34258_relational_after,34258,Which Hobby Shop did I visit after 5-6番線ホーム?,2018_698467__event_004,False,27,9,6,0.0370370370,0.1111111111,0.1666666667,0.0740740741,0.1296296296,0.0555555556,improved,improved,improved,NEXT,NEXT,2018_698471__event_002,2018_698471__event_002,2018_698471__event_002,True,True
tokyo_347501_relational_after,347501,Which Convenience Store did I visit after ファミリーマート あきる野滝山街道店?,2018_3804279__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_3804279__event_001,2018_3804279__event_001,2018_3804279__event_001,True,True
tokyo_348059_relational_after,348059,Which Train Station did I visit after 京王八王子駅 (Keiō-hachiōji Sta.)?,2018_3807516__event_004,False,13,5,6,0.0769230769,0.2000000000,0.1666666667,0.1230769231,0.0897435897,-0.0333333333,improved,improved,worsened,NEXT,NEXT,2018_3807516__event_003,2018_3807516__event_003,2018_3807516__event_003,True,True
tokyo_348682_relational_after,348682,Which Bus Station did I visit after 鳥居原ふれあいの館?,2018_3811346__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3811346__event_002,2018_3811346__event_002,2018_3811346__event_002,True,True
tokyo_350248_relational_after,350248,Which Convenience Store did I visit after ロイヤルホームセンター 相模原橋本店?,2018_3820531__event_002,True,5,3,3,0.2000000000,0.3333333333,0.3333333333,0.1333333333,0.1333333333,0.0000000000,improved,improved,unchanged,NEXT,NEXT,2018_3820531__event_001,2018_3820531__event_001,2018_3820531__event_001,True,True
tokyo_356419_relational_after,356419,Which Ramen Restaurant did I visit after JR 橋本駅 (JR Hashimoto Sta.)?,2018_3855579__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3855579__event_002,2018_3855579__event_002,2018_3855579__event_002,True,True
tokyo_35718_relational_after,35718,Which Shopping Mall did I visit after 鳥居原ふれあいの館?,2018_727120__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_727120__event_002,2018_727120__event_002,2018_727120__event_002,True,True
tokyo_362630_relational_after,362630,Which BBQ Joint did I visit after 竹の家?,2018_3889086__event_003,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3889086__event_003,2018_3889086__event_003,2018_3889086__event_003,True,True
tokyo_36487_relational_after,36487,Which Automotive Shop did I visit after あきる野IC?,2018_741708__event_003,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_741708__event_002,2018_741708__event_002,2018_741708__event_002,True,True
tokyo_365381_relational_after,365381,Which College Rec Center did I visit after ラウンドワン 八王子店?,2018_3903074__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3903074__event_002,2018_3903074__event_002,2018_3903074__event_002,True,True
tokyo_41088_relational_after,41088,Which Bowling Alley did I visit after モリタウン (mori town)?,2018_830967__event_002,True,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_830967__event_001,2018_830967__event_001,2018_830967__event_001,True,True
tokyo_42282_relational_after,42282,Which Fast Food Restaurant did I visit after 滝山病院?,2018_852454__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_852454__event_002,2018_852454__event_002,2018_852454__event_002,True,True
tokyo_44616_relational_after,44616,Which Automotive Shop did I visit after カインズ 町田多摩境店?,2018_895859__event_003,False,3,3,3,0.3333333333,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_895859__event_002,2018_895859__event_002,2018_895859__event_002,True,True
